Pin	Pin name	Signal name	STM32 pin	Function
1	D16	I2S_A_MCK	PC6	I2S_2
3	D17	I2S_A_SD	PB15	I2S_2
5	D18	I2S_A_CK	PB13(2)	I2S_2
7	D19	I2S_A_WS	PB12	I2S_2
9	D20	I2S_B_WS	PA15	I2S_3
11	D21	I2S_B_MCK	PC7	I2S_3
13	D22	I2S_B_SD/ SPI_B_MOSI	PB5	I2S_3/SPI3
15	D23	I2S_B_CK/ SPI_B_SCK	PB3	I2S_3/SPI3
17	D24	SPI_B_NSS	PA4	SPI3
19	D25	SPI_B_MISO	PB4	SPI3
2	D15	I2C_A_SCL	PB8	I2C_1_SCL
4	D14	I2C_A_SDA	PB9	I2C_1_SDA
6	VREFP	VREFP	-	VDDA/VREFP
8	GND	GND	-	-
10	D13	SPI_A_SCK	PA5	SPI1_SCK
12	D12	SPI_A_MISO	PA6	SPI1_MISO
14	D11	SPI_A_MOSI / TIM_E_PWM1	PB5(3)	SPI1_MOSI/TIM3_CH2
16	D10	SPI_A_CS / TIM_B_PWM3	PD14	SPI1_CS/ TIM4_CH3
18	D9	TIM_B_PWM2	PD15	TIM4_CH4
20	D8	I/O	PF3	-
