CN7_O_pin	CN7_O_name	CN7_E_pin	CN7_E_name	CN10_O_pin	CN10_O_name	CN10_E_pin	CN10_E_name
1	PC10	2	PC11	1	PC9	2	PC8
3	PC12	4	PD2	3	PB8	4	PC6
5	VDD	6	E5V	5	PB9	6	PC5
7	BOOT0(2)	8	GND	7	VREFP(3)	8	5V_USB_CHGR(4)
9	NC	10	NC	9	GND	10	NC
11	NC	12	IOREF	11	PA5	12	PA12
13	PA13(5)	14	NRST	13	PA6	14	PA11
15	PA14(5)	16	3V3	15	PA7	16	PB12
17	PA15	18	5V	17	PB6	18	PB11
19	GND	20	GND	19	PC7	20	GND
21	PB7	22	GND	21	PA9	22	PB2
23	PC13	24	VIN	23	PA8	24	PB1
25	PC14	26	NC	25	PB10	26	PB15
27	PC15	28	PA0	27	PB4	28	PB14
29	PF0	30	PA1	29	PB5	30	PB13
31	PF1	32	PA4	31	PB3	32	AGND
33	VBAT	34	PB0	33	PA10	34	PC4
35	PC2	36	PC1/PB9	35	PA2 / PC4	36	NC
37	PC3	38	PC0/PA15	37	PA3 / PC5	38	NC
